Three 1
broadcasting 1
decisions. 1
9d52bc8b743ac1c62c42266aebc6f8a0d81ccc9b 1
Updated 1
16:42:36 1
a676f905f522930d54b4e2b3b5003bc559494115 1
13:03:04 1
titles. 1
message 2
Singleton 1
8cf117a5c2c371b96f626633696a593b0f03c166 1
names 1
redundant 2
16:59:49 1
14:59:11 1
it 3
Bunch 1
12:27:08 1
Sent 1
Client 1
Deployment 1
+0530 48
Mon 17
eaaf9308e3dcec212569c95a037717c4a7116e27 1
ba1bd1815c920362324bac9a493d45b680105e57 1
prepaid 1
decorator! 1
15:08:28 1
json 1
now 1
broadcase 1
23:56:37 1
6 2
with 2
iteration, 1
81b696ff6b20f1ce0b5fb999a51759ced092b823 1
13:06:33 1
loops 1
classes 1
document. 1
association 1
8119e4a239a568e2b50adbef5b9c051d187cd7ba 1
21:52:32 1
<dprasadm@gmail.com> 48
1585dd6f35fced584300d71cf3e96d552fa62e2e 1
23:46:32 1
trivial 2
yet 1
28 1
explain. 1
09a24d89fce890f6f1ab1cbdc957cc9a6aebe06e 1
capturing 1
process! 1
719897cbe1c3e11d6400fc7209babeff454b321c 1
implementation 2
possibility 1
drop 1
jpegs 1
Added 6
arrows, 1
7ebb9e96b99e8f1a0d24e868c317aa76dfeda67f 1
ArrayList<E> 1
Initial 1
import 1
16:36:02 1
calculators! 1
modifications 1
23:27:48 1
Send 1
Adapter 1
'send-group-one-message' 1
Created 1
assert 1
8dba09820437e6f0b72d37a83d7879026b46e5b5 1
variable 1
access 1
A 3
The 1
22:33:58 1
lecture. 4
Logging 1
a0880d155891edcf536a1105d4c88d623eba0b58 1
Thu 8
Cosmetic 1
Types 1
not-so-great 1
13 2
th 1
java 1
Incoming 1
43a66ea6c5673dee809382abd1b4940a6122834d 1
23:40:50 1
template-binding 1
are 1
INameBuilder 1
'Spring 1
files 1
73dec3dcc70e620fb9fe2a29aac3f5bdf0dae6f2 1
index 1
969dc157e73a37d4f19fdbb44900a90f424e57d6 1
components 1
messages, 1
25 3
aea7d58b13fca793f6685b04517dfc19af70e94c 1
group, 1
Fourth 1
statements. 1
22:49:55 1
13:52:43 1
Regained 1
in 10
UML 4
Trivial 1
instantiation 1
code 6
e0afe03499935f6e87cbce1f8b83d13101b712cf 1
09:09:52 1
Message 1
pattern, 2
30 2
116bacfbba4d129a463393248cec77c8ac8fb0c7 1
type 1
Slide 1
word: 1
decent 1
class 2
singleton 2
Sample 1
early 1
e0beacef5c2eecd10a4f89436ba9bae470c0509e 1
Changed 2
2071c694f0f6cb021793cee1c3417a70a1d130d8 1
we 1
version 1
376daec5a63609d285bfcec7dea0a76ae56cae5f 1
string 1
5819c211790992904a782fd7981c87c9106d5cae 1
status 1
4 5
deck 1
registers! 1
between 1
example! 1
Started 1
b01a31e02ee0226727861ff36508146c86c36a92 1
'adaptee' 1
Author: 48
asynchrony. 1
6230bddde4f70d40613e04a1da40a746066cb390 1
title 3
15:47:05 1
17:18:55 1
his 1
289b0f490ef91fa4ea0e470fcfd5423c60741565 1
Source 1
(WhatsApp-like 1
use 2
09:21:06 1
patterns! 1
anyway 1
19 4
supports 1
its 1
22:57:25 1
commit 47
separate 1
code. 2
a13cdaeec4654240fc6d8391f6f9406661c2f5f9 1
Slide-deck 1
factory 2
Abstract 1
diagrams 2
5 1
vanilla 1
Mar 3
program. 1
Used 2
to 12
creating 1
18 1
coresponding 1
test 3
13:24:28 1
format 1
template 1
talk 1
diagram 4
samples 1
instantiation. 1
implementation. 2
a 12
comments! 1
structure. 1
9 2
cosmetics 1
reorganized 1
Content 1
machine. 1
Wed 13
behavior): 1
abstract 1
tweaks 1
Apr 17
instantiation, 1
Very 1
df6da9fdf637b56c73dfc03a898d3c43b9ed8d90 1
May 28
09:10:01 1
decorator 1
online 1
string. 1
2 3
device. 1
requirements 2
'sync-messages' 1
place. 1
2016 48
events. 1
Explaining 1
two 1
22:38:05 1
makefile 1
update. 1
dprasad 48
12:51:25 1
2. 1
second 1
easy 2
Tabbed-Window 1
15:57:19 1
Stack 1
for 14
typo 1
e665f961fff98815750a0ee933f05818c63a1244 1
operations. 1
14:57:53 1
of 12
one 2
is 1
Tue 8
21:42:04 1
9e9a65fec2143a1b608ef0f04c93d3b3b6b3cebd 1
println. 1
directory 2
as 2
state. 1
12:11:32 1
content. 2
an 1
Time 1
16:44:52 1
tenth 1
not 2
Observer 2
case. 1
Reorganized 2
16 3
12:25:08 1
befae30a3789f05b9a7ec3d95b39a109ec3d4cd6 1
project 2
activeentities, 1
adapter 3
images. 1
JSONObject 1
driver 1
paper. 4
Uses 1
notations. 1
Decorator 1
677a440e48a846037e3817a606202ed55ce06725 1
pattern. 6
e02be964cc87cf9cee16915efc3b37218e532db2 1
space 1
15:59:45 1
diagram. 4
16:47:32 1
Fixed 3
First 1
some 1
11:19:23 1
slide 1
3 2
other 1
12:24:12 1
call 1
constructor. 1
7 3
cf4454acc161f0bdee083473a3b9bfb2de877fa1 1
Java 1
String 1
middle 1
make 1
67766d78c3fb9e8b5997c4fbda10b72fb6d31b30 1
logger 1
YAYgit 1
sample 4
579c3bd98eb513d51b29b95aa8bcdb509f564ef5 1
explanation. 1
great 1
11 6
12 2
observer 1
13:46:01 1
deployment 1
introduced 1
build 1
source 1
state 4
Introduced 1
lecture 1
Sequence 1
instead 2
13:15:42 1
machines 1
bind 1
fc42eb39a4342b53aa7f0a850ac462863e833ce5 1
21:29:05 1
before 1
plain 1
the 30
Removed 3
fifth 1
recharge 1
Date: 48
1 1
design 6
showing 2
10 2
21:24:13 1
(2) 1
Two 1
15:17:13 1
testing 1
diagrams. 1
Java. 2
patterns. 2
- 2
action 1
method 1
directories. 1
run 1
23:10:32 1
23c4815f2d4dd66d46db6582f741167cee88bf9e 1
Calculator 1
General 1
example 1
cases 1
delivery 1
17:17:24 1
Deck 1
(1) 1
safety 1
ecc94f08f091e9f1a5fd829b51a4767651715ed3 1
versions 1
12:27:14 1
collection 1
show 2
Moved 1
compiling 1
02258ddec67f4cb2e95ff08e249f0d0dd6f42c4d 1
slide-deck. 2
17 1
interface. 1
name 1
demonstrating 1
slide-deck 1
integer 1
passing 1
12:20:22 1
sequence 3
test. 1
'send-one-message' 1
e39d95f6a8703a80533fcfdf8997d0d6faffef43 1
just 1
Composite 1
machines. 2
available. 1
asynchronous 1
maintain 1
lifecycle. 1
person 1
because 1
cc16a23413d11af65ef33e80342a8b2c82ee636c 1
updates. 1
17:06:02 1
from 1
14 1
StringBuilder 1
message. 1
This 1
so 1
composite 2
Sat 2
and 17
history 1
12:12:58 1
Notes' 1
was 1
content 2
Modeled 1
Builder 2
single 1
case 1
more 2
relationships, 1
7fc7868cfae9bdd878af91bc506b1b7b4f35596b 1
pattern 7
8bf9580e009e243e159d97b5b1be861c3c434482 1
Factory 1
modeling 1
well, 1
07:15:10 1
Lockscreen 1
c3780fc106ad5a669284ac968e730a91b11981cb 1
588d7c2fdeb8d7efe1887548b9b730ec2040075e 1
first 1
26 2
b7f672f7b2f195e070b4552aba052861a366a331 1
15:51:16 1
pdf 2
